,mean_time,totalworkingyears,age,businesstravel,yearswithcurrmanager,attrition
0,6.870228692547778,1,51,1.0,0,0
1,7.315970548861944,6,31,2.0,4,1
2,6.816080990629167,5,32,2.0,3,0
3,6.789214636323055,13,38,0.0,5,0
4,7.877561356537223,9,32,1.0,4,0
5,10.27580209727778,28,46,1.0,7,0
6,6.450876840696111,5,28,1.0,0,1
7,6.5635575635875,10,29,1.0,0,0
8,6.684316153502778,10,31,1.0,8,0
9,6.653576528335556,6,25,0.0,5,0
10,8.13349397590361,21,45,1.0,10,0
11,6.841839580544167,16,36,1.0,11,0
12,8.55430834448889,37,55,1.0,13,0
13,8.8714212405175,10,47,0.0,9,1
14,5.894035029004722,5,28,1.0,4,0
15,6.382033690316666,7,37,1.0,1,0
16,6.034225792056945,3,21,1.0,0,0
17,6.4850557786700005,10,35,1.0,2,0
18,8.6217324854975,8,38,1.0,7,0
19,7.0725323516286105,6,26,2.0,4,0
20,5.622517849174445,28,50,1.0,6,0
21,7.828470548861945,21,53,1.0,3,0
22,6.615643685854444,10,42,1.0,6,0
23,6.580408299866111,10,29,2.0,9,0
24,9.0612148594375,12,55,1.0,8,0
25,7.207425256581667,17,37,1.0,7,0
26,6.310013386880833,10,38,1.0,2,0
27,9.662807898259445,5,26,1.0,2,1
28,6.521040829986389,5,28,1.0,2,0
29,9.88458723784,22,49,2.0,2,0
30,6.033902275769722,10,36,1.0,7,0
31,6.348326639892777,2,31,2.0,2,0
32,9.57092369477889,8,26,1.0,4,1
33,9.702093931280555,4,37,2.0,2,0
34,5.5232954038374995,23,42,2.0,8,0
35,6.177288041053056,0,18,1.0,0,1
36,7.381318607764166,12,35,1.0,9,0
37,7.060059125390278,4,36,2.0,0,0
38,7.167754350736112,13,51,1.0,2,0
39,6.757186523873056,22,41,1.0,4,0
40,6.755545515394722,0,18,1.0,0,0
41,7.056963409192222,9,28,1.0,7,0
42,6.913614457831112,10,31,1.0,7,0
43,7.207423025435,19,39,1.0,7,0
44,7.455297858098889,11,36,0.0,8,0
45,6.358520749665278,13,32,1.0,8,0
46,6.323954707719722,19,38,1.0,1,0
47,8.685874609549167,6,31,1.0,3,0
48,6.557103971441111,9,31,1.0,0,0
49,6.934087460954722,24,45,2.0,11,0
50,8.43789045069139,3,31,1.0,2,0
51,6.457864792503334,12,33,2.0,8,0
52,7.007448683623333,9,43,2.0,7,0
53,9.709125390450556,25,49,1.0,7,0
54,7.5880365908075,11,52,1.0,7,1
55,10.074638554216666,13,32,1.0,9,0
56,9.341363230700557,5,27,1.0,4,0
57,6.447809013833056,13,31,1.0,7,0
58,7.136569611780279,10,32,1.0,7,0
59,5.762560240963611,11,30,1.0,9,0
60,6.025345827755277,10,31,2.0,9,0
61,5.5637918340025,21,39,2.0,3,0
62,9.851604194555833,12,39,1.0,0,1
63,7.2128168228466665,9,33,2.0,1,0
64,6.337332663989167,21,47,1.0,1,0
65,5.945283355644722,9,43,2.0,0,0
66,8.643457161981111,6,27,0.0,4,0
67,5.681542838018611,20,54,2.0,3,0
68,6.8984895136097215,10,43,1.0,0,0
69,6.900469656403334,12,45,1.0,8,0
70,9.197425256581667,6,40,1.0,2,0
71,9.678278670236388,7,29,1.0,7,1
72,6.6295515394911115,4,29,1.0,2,0
73,7.070961624274722,10,30,1.0,2,0
74,5.957641677822222,8,27,1.0,7,0
75,5.687801204819167,8,37,1.0,4,0
76,8.730585676037222,12,38,1.0,9,0
77,9.965590138330832,11,31,1.0,10,0
78,8.219101963409166,7,29,1.0,7,0
79,7.403634538152501,17,35,1.0,13,0
80,6.762868139223333,4,23,1.0,2,0
81,9.29953145917,8,41,1.0,2,0
82,7.458285363676667,5,47,2.0,0,0
83,5.981423471664167,16,42,1.0,0,0
84,5.900896921017223,4,29,0.0,2,0
85,8.086752565818612,4,42,1.0,0,0
86,7.164133199464445,8,32,1.0,7,0
87,6.847280232039166,15,48,1.0,0,0
88,10.234273761713332,4,30,0.0,2,0
89,5.849885095939166,8,26,1.0,7,0
90,5.867603748326389,14,42,1.0,0,0
91,7.970253235162778,3,21,2.0,2,1
92,6.807350513163611,7,36,0.0,0,0
93,6.791153502900277,16,36,2.0,12,0
94,5.971953369031667,15,57,1.0,2,0
95,7.606198125836666,10,40,1.0,7,0
96,7.344952030343333,3,21,0.0,2,0
97,9.749403168228332,1,33,1.0,0,1
98,7.4154562695225,17,37,1.0,3,0
99,5.588887773315277,7,46,0.0,0,0
100,7.100332440874444,8,41,2.0,7,1
101,6.3645537706380555,20,50,1.0,3,0
102,8.735999553770554,8,40,1.0,0,1
103,5.537753235162778,1,21,1.0,0,1
104,7.663491744756667,6,29,1.0,2,0
105,7.314774654172222,10,35,1.0,0,0
106,5.816591923248333,5,27,1.0,4,0
107,6.634467871485833,7,28,1.0,7,0
108,7.542354975457222,26,49,1.0,0,0
109,6.9768016510486115,18,51,1.0,7,0
110,5.640869031682222,6,36,1.0,2,0
111,8.600741856313888,9,34,0.0,4,1
112,8.230750780901111,30,55,1.0,2,0
113,9.230603525211945,5,24,1.0,3,0
114,6.401705711735556,1,30,1.0,0,0
115,6.7463688085675,7,26,2.0,4,1
116,5.831803882195278,2,22,1.0,2,0
117,6.0337817938419445,10,36,1.0,0,0
118,7.895576751449999,3,30,2.0,0,1
119,6.2188810798750005,18,37,1.0,17,0
120,6.173039937527778,8,40,1.0,3,0
121,7.0619366354305555,8,42,1.0,2,0
122,9.760771976795834,18,37,1.0,1,0
123,6.998694779116389,25,43,1.0,9,0
124,7.164219098616667,20,40,1.0,0,0
125,5.468940205265278,24,54,1.0,2,0
126,6.446319723337778,6,34,0.0,2,0
127,5.713265283355556,13,31,1.0,12,0
128,6.996710174029444,10,43,2.0,2,0
129,8.486725792056944,8,43,1.0,2,0
130,10.151952253458056,5,25,1.0,3,0
131,10.004965417224444,15,37,0.0,7,0
132,6.578286479250277,4,31,1.0,2,0
133,8.864453369031667,21,39,2.0,6,0
134,7.122437527889166,36,56,2.0,7,0
