,age,attrition,businesstravel,department,distancefromhome,education,educationfield,employeeid,gender,joblevel,jobrole,maritalstatus,monthlyincome,numcompaniesworked,percentsalaryhike,stockoptionlevel,totalworkingyears,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,environmentsatisfaction,jobsatisfaction,worklifebalance,jobinvolvement,performancerating,mean_time
0,51,No,Travel_Rarely,Sales,6,2,Life Sciences,1,Female,1,Healthcare Representative,Married,131160,1,11,0,1,6,1,0,0,3,4,2,3,3,6.870228692547778
1,31,Yes,Travel_Frequently,Research & Development,10,1,Life Sciences,2,Female,1,Research Scientist,Single,41890,0,23,1,6,3,5,1,4,3,2,4,2,4,7.315970548861944
2,32,No,Travel_Frequently,Research & Development,17,4,Other,3,Male,4,Sales Executive,Married,193280,1,15,3,5,2,5,0,3,2,2,1,3,3,6.816080990629167
3,38,No,Non-Travel,Research & Development,2,5,Life Sciences,4,Male,3,Human Resources,Married,83210,3,11,3,13,5,8,7,5,4,4,3,2,3,6.789214636323055
4,32,No,Travel_Rarely,Research & Development,10,1,Medical,5,Male,1,Sales Executive,Single,23420,4,12,2,9,2,6,0,4,4,1,3,3,3,7.877561356537223
5,46,No,Travel_Rarely,Research & Development,8,3,Life Sciences,6,Female,4,Research Director,Married,40710,3,13,0,28,5,7,7,7,3,2,2,3,3,10.27580209727778
6,28,Yes,Travel_Rarely,Research & Development,11,2,Medical,7,Male,2,Sales Executive,Single,58130,2,20,1,5,2,0,0,0,1,3,1,3,4,6.450876840696111
7,29,No,Travel_Rarely,Research & Development,18,3,Life Sciences,8,Male,2,Sales Executive,Married,31430,2,22,3,10,2,0,0,0,1,2,3,3,4,6.5635575635875
8,31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,9,Male,3,Laboratory Technician,Married,20440,0,21,0,10,2,9,7,8,2,4,3,3,4,6.684316153502778
9,25,No,Non-Travel,Research & Development,7,4,Medical,10,Female,4,Laboratory Technician,Divorced,134640,1,13,1,6,2,6,1,5,2,1,3,3,3,6.653576528335556
10,45,No,Travel_Rarely,Research & Development,17,2,Medical,11,Male,2,Laboratory Technician,Married,79910,0,13,2,21,2,20,4,10,3,4,3,2,3,8.13349397590361
11,36,No,Travel_Rarely,Research & Development,28,1,Life Sciences,12,Male,1,Laboratory Technician,Married,33770,0,12,2,16,2,15,10,11,3,4,3,3,3,6.841839580544167
12,55,No,Travel_Rarely,Research & Development,14,4,Life Sciences,13,Female,1,Sales Executive,Single,55380,0,17,0,37,2,36,4,13,4,1,3,3,3,8.55430834448889
13,47,Yes,Non-Travel,Research & Development,1,1,Medical,14,Male,1,Research Scientist,Married,57620,1,11,2,10,4,10,9,9,1,2,2,2,3,8.8714212405175
14,28,No,Travel_Rarely,Research & Development,1,3,Life Sciences,15,Male,1,Manufacturing Director,Married,25920,1,14,0,5,2,5,0,4,4,4,2,3,3,5.894035029004722
15,37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,16,Male,2,Healthcare Representative,Married,53460,4,11,0,7,2,5,0,1,3,4,4,3,3,6.382033690316666
16,21,No,Travel_Rarely,Research & Development,3,2,Life Sciences,17,Male,1,Laboratory Technician,Single,42130,1,12,3,3,3,3,1,0,4,3,4,2,3,6.034225792056945
17,37,No,Non-Travel,Research & Development,1,3,Medical,18,Male,2,Sales Executive,Divorced,41270,2,13,1,15,2,5,0,2,1,4,3,3,3,10.881625390450557
18,35,No,Travel_Rarely,Sales,7,4,Life Sciences,19,Male,1,Sales Representative,Divorced,24380,7,16,0,10,5,7,6,2,2,2,2,2,3,6.4850557786700005
19,38,No,Travel_Rarely,Research & Development,8,3,Life Sciences,20,Female,1,Manager,Divorced,68700,1,11,1,8,5,8,7,7,1,1,3,3,3,8.6217324854975
20,26,No,Travel_Frequently,Research & Development,1,4,Other,21,Male,2,Laboratory Technician,Divorced,104470,1,18,0,6,3,6,1,4,3,2,1,3,3,7.0725323516286105
21,50,No,Travel_Rarely,Sales,8,4,Life Sciences,22,Male,1,Research Scientist,Divorced,96670,3,23,0,28,2,10,1,6,1,2,2,2,4,5.622517849174445
