,department_Human Resources,department_Research & Development,department_Sales,educationfield_Human Resources,educationfield_Life Sciences,educationfield_Marketing,educationfield_Medical,educationfield_Other,educationfield_Technical Degree,gender_Female,gender_Male,jobrole_Healthcare Representative,jobrole_Human Resources,jobrole_Laboratory Technician,jobrole_Manager,jobrole_Manufacturing Director,jobrole_Research Director,jobrole_Research Scientist,jobrole_Sales Executive,jobrole_Sales Representative,maritalstatus_Divorced,maritalstatus_Married,maritalstatus_Single,education,joblevel,stockoptionlevel,environmentsatisfaction,worklifebalance,jobsatisfaction,jobinvolvement,performancerating,businesstravel,age,distancefromhome,monthlyincome,numcompaniesworked,percentsalaryhike,totalworkingyears,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,mean_time,attrition
0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,3,2,4,3,3,1.0,51,6,131160,1,11,1,6,1,0,0,6.870228692547778,0
1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,3,4,2,2,4,2.0,31,10,41890,0,23,6,3,5,1,4,7.315970548861944,1
2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,4,4,3,2,1,2,3,3,2.0,32,17,193280,1,15,5,2,5,0,3,6.816080990629167,0
3,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,5,3,3,4,3,4,2,3,0.0,38,2,83210,3,11,13,5,8,7,5,6.789214636323055,0
4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,4,3,1,3,3,1.0,32,10,23420,4,12,9,2,6,0,4,7.877561356537223,0
5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3,4,0,3,2,2,3,3,1.0,46,8,40710,3,13,28,5,7,7,7,10.27580209727778,0
6,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,2,1,1,1,3,3,4,1.0,28,11,58130,2,20,5,2,0,0,0,6.450876840696111,1
7,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3,2,3,1,3,2,3,4,1.0,29,18,31430,2,22,10,2,0,0,0,6.5635575635875,0
8,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,3,0,2,3,4,3,4,1.0,31,1,20440,0,21,10,2,9,7,8,6.684316153502778,0
9,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,4,4,1,2,3,1,3,3,0.0,25,7,134640,1,13,6,2,6,1,5,6.653576528335556,0
10,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,2,2,3,3,4,2,3,1.0,45,17,79910,0,13,21,2,20,4,10,8.13349397590361,0
11,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,2,3,3,4,3,3,1.0,36,28,33770,0,12,16,2,15,10,11,6.841839580544167,0
12,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,0,4,3,1,3,3,1.0,55,14,55380,0,17,37,2,36,4,13,8.55430834448889,0
13,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,2,1,2,2,2,3,0.0,47,1,57620,1,11,10,4,10,9,9,8.8714212405175,1
14,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3,1,0,4,2,4,3,3,1.0,28,1,25920,1,14,5,2,5,0,4,5.894035029004722,0
15,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3,2,0,3,4,4,3,3,1.0,37,1,53460,4,11,7,2,5,0,1,6.382033690316666,0
16,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,3,2,3,1.0,21,3,42130,1,12,3,3,3,1,0,6.034225792056945,0
17,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4,1,0,2,2,2,2,3,1.0,35,7,24380,7,16,10,5,7,6,2,6.4850557786700005,0
18,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1,1,1,3,1,3,3,1.0,38,8,68700,1,11,8,5,8,7,7,8.6217324854975,0
19,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,4,2,0,3,1,2,3,3,2.0,26,1,104470,1,18,6,3,6,1,4,7.0725323516286105,0
20,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,4,1,0,1,2,2,2,4,1.0,50,8,96670,3,23,28,2,10,1,6,5.622517849174445,0
21,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,4,2,0,3,2,3,3,3,1.0,53,11,21480,3,11,21,2,5,1,3,7.828470548861945,0
22,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,1,0,2,3,3,1,3,1.0,42,4,89260,1,14,10,4,20,11,6,6.615643685854444,0
23,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,4,1,1,2,2,4,3,3,2.0,29,16,65130,1,11,10,2,10,0,9,6.580408299866111,0
24,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,4,1,0,2,3,4,3,3,1.0,55,1,67990,3,11,12,2,10,0,8,9.0612148594375,0
25,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,4,3,4,3,3,1.0,37,5,27050,1,11,17,2,17,5,7,7.207425256581667,0
26,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1,0,4,3,4,2,3,1.0,38,2,44480,9,12,10,3,2,1,2,6.310013386880833,0
27,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3,3,0,1,3,2,2,3,1.0,26,4,68540,2,11,5,5,3,0,2,9.662807898259445,1
